ServiceNo,Direction,StopSequence,BusStopCode
111,1,52,11181
111,1,53,11351
111,1,54,11009
112,1,1,64009
112,1,2,64041
112,1,3,64051
112,1,4,64329
112,1,5,64319
112,1,6,64309
112,1,7,64239
112,1,8,64209
112,1,9,63139
112,1,10,63239
112,1,11,63229
112,1,12,63031
112,1,13,63041
112,1,14,63051
112,1,15,63349
112,1,16,63339
112,1,17,63329
112,1,18,63391
112,1,19,63381
112,1,20,63371
112,1,21,64411
112,1,22,64479
112,1,23,64489
112,1,24,64509
112,1,25,64519
112,1,26,64471
112,1,27,64419
112,1,28,63379
112,1,29,63389
112,1,30,63399
112,1,31,63321
112,1,32,63331
112,1,33,63341
112,1,34,63059
112,1,35,63049
112,1,36,63039
112,1,37,63221
112,1,38,63231
112,1,39,63131
112,1,40,64201
112,1,41,64231
112,1,42,64301
112,1,43,64311
112,1,44,64321
112,1,45,64059
112,1,46,64049
112,1,47,64009
112A,1,1,64009
112A,1,2,64041
112A,1,3,64051
112A,1,4,64329
112A,1,5,64319
112A,1,6,64309
112A,1,7,64239
112A,1,8,64209
112A,1,9,63139
112A,1,10,63239
112A,1,11,63229
112A,1,12,63031
113,1,1,64009
113,1,2,64041
113,1,3,64051
113,1,4,64071
113,1,5,64039
113,1,6,64371
113,1,7,64381
113,1,8,64391
113,1,9,63351
113,1,10,63341
113,1,11,63059
113,1,12,63049
113,1,13,63039
113,1,14,63221
113,1,15,63231
113,1,16,63261
113,1,17,63271
113,1,18,63281
113,1,19,63291
113,1,20,63301
113,1,21,62221
113,1,22,62219
113,1,23,62059
113,1,24,62229
113,1,25,63309
113,1,26,63299
113,1,27,63289
113,1,28,63279
113,1,29,63269
113,1,30,63239
113,1,31,63229
113,1,32,63031
113,1,33,63041
113,1,34,63051
113,1,35,63349
113,1,36,63359
113,1,37,64399
113,1,38,64389
113,1,39,64379
113,1,40,64031
113,1,41,64079
113,1,42,64059
113,1,43,64049
113,1,44,64009
113A,1,1,63039
113A,1,2,63221
113A,1,3,63231
113A,1,4,63261
113A,1,5,63271
113A,1,6,63281
113A,1,7,63291
113A,1,8,63301
113A,1,9,62221
113A,1,10,62219
113A,1,11,62059
113A,1,12,62229
113A,1,13,63309
113A,1,14,63299
113A,1,15,63289
113A,1,16,63279
113A,1,17,63269
113A,1,18,63239
113A,1,19,63229
113A,1,20,63031
114,1,1,67601
114,1,2,67629
114,1,3,66569
114,1,4,66559
114,1,5,66589
114,1,6,66579
114,1,7,67621
114,1,8,67609
115,1,1,63221
115,1,2,63231
115,1,3,63261
115,1,4,63271
115,1,5,63281
115,1,6,63099
115,1,7,63089
115,1,8,63079
115,1,9,63241
115,1,10,63059
115,1,11,63049
115,1,12,63039
115,1,13,63221
116,1,1,64009
116,1,2,64551
116,1,3,64529
116,1,4,64339
116,1,5,64411
116,1,6,64479
116,1,7,64489
116,1,8,64499
116,1,9,66439
116,1,10,66429
116,1,11,66101
116,1,12,63219
116,1,13,63209
116,1,14,63199
116,1,15,63189
116,1,16,63179
116,1,17,63369
116,1,18,66379
116,1,19,66359
116,1,20,62141
116,1,21,63141
116,1,22,63361
116,1,23,63181
116,1,24,63191
116,1,25,63201
116,1,26,63211
116,1,27,66109
116,1,28,66421
116,1,29,66431
116,1,30,64491
116,1,31,64481
116,1,32,64471
116,1,33,64419
116,1,34,64331
116,1,35,64521
116,1,36,64559
